Ticker,tSNE_x,tSNE_y
MCD,40.59934616088870,27.36065673828130
NKE,-82.62364959716800,-41.03736877441410
KO,-77.9739761352539,-36.99138641357420
XOM,21.149656295776400,79.72543334960940
CVX,25.95952606201170,68.24091339111330
HAL,-89.30690002441410,-55.95480728149410
JPM,34.857635498046900,36.872013092041000
GS,35.437400817871100,-26.00307846069340
BAC,-82.35668182373050,-48.46196365356450
JNJ,30.364362716674800,59.1644401550293
PFE,-83.92127990722660,-55.042850494384800
UNH,40.83012771606450,-25.429248809814500
MMM,24.147886276245100,73.14422607421880
CAT,36.1666145324707,29.098756790161100
DAL,-87.39273071289060,-49.006195068359400
AAPL,33.38215255737310,41.46868133544920
MSFT,39.436546325683600,20.560232162475600
NVDA,20.222604751586900,68.80752563476560
GOOGL,26.563724517822300,56.61310958862310
META,38.63179397583010,-30.396163940429700
