Dim1,Dim2,Ticker,Category
41.194023,12.722688,XOM,Energy
-106.944176,29.201353,CVX,Energy
-67.71845,24.283623,HAL,Energy
84.03575,-45.202267,MMM,Industrials
9.530648,1.0238866,CAT,Industrials
-101.490234,18.774944,DAL,Industrials
71.75537,-32.548817,MCD,Consumer_Discretionary
-19.977367,7.6449594,NKE,Consumer_Discretionary
39.35803,-17.332869,JNJ,Healthcare
56.9666,-23.606668,PFE,Healthcare
-71.24093,11.239602,UNH,Healthcare
-84.865105,19.570038,JPM,Financials
69.819115,-20.282167,BAC,Financials
92.379875,-35.366093,GS,Financials
24.194645,6.096392,AAPL,Information_Technology
-3.4012215,3.954701,MSFT,Information_Technology
49.38999,-10.233741,NVDA,Information_Technology
-54.825623,24.76657,GOOGL,Information_Technology
-53.63743,12.059979,META,Information_Technology
