stock,x,y,sector
MMM,184.07542,226.30273,Industrials
KO,264.54846,267.79578,Consumer
BAC,-5.3061814,237.45847,Financials
UNH,284.53403,46.149746,Healthcare
MCD,378.3477,240.68086,Consumer
NKE,116.88856,-576.2334,Consumer
XOM,38.800114,-263.10846,Energy
GS,122.67466,305.4477,Financials
JPM,45.336582,360.40695,Financials
CVX,102.87797,-356.1446,Energy
DAL,-15.300952,-190.75838,Industrials
PFE,155.24228,-512.0726,Healthcare
NVDA,-130.09096,103.16289,Technology
JNJ,428.75815,107.25177,Healthcare
MSFT,-189.0863,-300.5486,Technology
META,-84.71944,217.4506,Technology
HAL,-4.818142,-67.84498,Energy
AAPL,188.79565,117.039,Technology
GOOGL,-206.0624,-144.49104,Technology
CAT,-162.5254,-211.1096,Industrials
